source	target
2929560191	292878531
2929560191	16936237
2929560191	312028258
2929560191	62499092
2929560191	699257234308599808
2929560191	2318329809
2929560191	19232649
2929560191	1469875220
2929560191	256704506
2929560191	605452104
2929560191	1094647344
2929560191	169426475
2929560191	1379662802
2929560191	2772038099
2929560191	20058825
2929560191	193301414
2929560191	1909336063
2929560191	2607155254
2929560191	2499979129
2929560191	869523085
2929560191	223186515
2929560191	2742643120
2929560191	966628006205804544
2929560191	958613515912318976
2929560191	91655397
2929560191	890562581416607744
2929560191	1734830352
2929560191	18760604
2929560191	608246667
2929560191	1373122783
2929560191	21002703
2929560191	14419232
2929560191	902333923
2929560191	982234668
2929560191	40250606
2929560191	759149496
2929560191	3306527433
2929560191	3147458090
2929560191	2192603733
2929560191	72943839
2929560191	52028040
2929560191	806848255636238336
2929560191	1396495362
2929560191	116063765
2929560191	15177620
2929560191	16467056
2929560191	15105128
2929560191	1263752238
2929560191	613729669
2929560191	1358776418
2929560191	3323585471
2929560191	793585473956425728
2929560191	486072469
2929560191	77764939
2929560191	374548408
2929560191	1376747070
2929560191	732847993989259264
2929560191	542288605
2929560191	5409912
2929560191	804451353330335744
2929560191	705045115010719744
2929560191	382123997
2929560191	178288103
2929560191	45595754
2929560191	22790256
2929560191	277556052
2929560191	20999213
2929560191	774334954452942848
2929560191	368216568
2929560191	3088470959
2929560191	255173849
2929560191	717697449217945600
2929560191	3300222843
2929560191	455647597
2929560191	937708165
2929560191	199368433
2929560191	792995461
2929560191	2774675021
2929560191	4850159457
2929560191	3092454622
2929560191	200058141
2929560191	777981818985381888
2929560191	779220470214356992
2929560191	17821142
2929560191	769094233068273665
2929560191	717615823519621120
2929560191	420570280
2929560191	1533496856
2929560191	1923991164
2929560191	3221520874
2929560191	52178941
2929560191	3414718271
2929560191	2774271739
2929560191	161775383
2929560191	55338739
2929560191	43808157
2929560191	57587651
2929560191	760432662276366337
2929560191	774425182286950400
2929560191	2924535264
2929560191	14790501
2929560191	22382610
2929560191	90204909
2929560191	6526412
2929560191	4022491756
2929560191	22364669
2929560191	2395855238
2929560191	195674951
2929560191	91784346
2929560191	358460052
2929560191	14426593
2929560191	3417857242
2929560191	3026445682
2929560191	4054714312
2929560191	3342401367
2929560191	754731674408251396
2929560191	518376422
2929560191	3057396945
2929560191	453980399
2929560191	3369133899
2929560191	3874485862
2929560191	281948176
2929560191	2358540265
2929560191	1887846078
2929560191	733684440317190145
2929560191	3341438206
2929560191	109587058
2929560191	3424141793
2929560191	708267682332852226
2929560191	3671994077
2929560191	2218342305
2929560191	734644844
2929560191	508894256
2929560191	744609442918965249
2929560191	11908352
2929560191	70393166
2929560191	718709246028853248
2929560191	259370247
2929560191	59466583
2929560191	596742952
2929560191	623590819
2929560191	937137786
2929560191	820344108
2929560191	581000743
2929560191	2335961740
2929560191	1277396748
2929560191	620090058
2929560191	740467098913243136
2929560191	2828261708
2929560191	534349381
2929560191	4339689443
2929560191	702915944218279936
2929560191	3243033601
2929560191	460323416
2929560191	1090315298
2929560191	27637274
2929560191	222113299
2929560191	701678316051439616
2929560191	16274243
2929560191	21691032
2929560191	912141625
2929560191	414320528
2929560191	613350637
2929560191	112127846
2929560191	29281690
2929560191	189173792
2929560191	397499505
2929560191	140732948
2929560191	58042881
2929560191	193633906
2929560191	2479675036
2929560191	151992829
2929560191	234501240
2929560191	125870529
2929560191	1179765584
2929560191	3378572740
2929560191	736166444929552384
2929560191	3430012300
2929560191	823956139
2929560191	2158198283
2929560191	2349311000
2929560191	738703119476006912
2929560191	4926486718
2929560191	1358844860
2929560191	729608460573233152
2929560191	249155773
2929560191	2885559671
2929560191	231179155
2929560191	89922402
2929560191	24358056
2929560191	31687511
2929560191	376122411
2929560191	1248024757
2929560191	58764805
2929560191	209467370
2929560191	564780051
2929560191	780140630
2929560191	47719551
2929560191	3301518760
2929560191	29206908
2929560191	2755170108
2929560191	474078497
2929560191	274099541
2929560191	3094332945
2929560191	38151083
2929560191	25757622
2929560191	280969348
2929560191	70938269
2929560191	27282512
2929560191	12904702
2929560191	266573384
2929560191	3794024955
2929560191	3769788796
2929560191	2185220682
2929560191	2846588647
2929560191	89949366
2929560191	1709549510
2929560191	69679499
2929560191	218879052
2929560191	2851149850
2929560191	40860228
2929560191	483274086
2929560191	161858048
2929560191	3748845497
2929560191	242217977
2929560191	3164233378
2929560191	332872591
2929560191	3354659663
2929560191	2862088679
2929560191	7130022
2929560191	819810433
2929560191	3825423867
2929560191	3843110896
2929560191	4263682643
2929560191	2794147402
2929560191	3684798917
2929560191	782523908
2929560191	2327906205
2929560191	2388380505
2929560191	20522944
2929560191	129943541
2929560191	2411386812
2929560191	14257729
2929560191	463000015
2929560191	131636766
2929560191	4524025395
2929560191	859648872
2929560191	4747836975
2929560191	2417563188
2929560191	458491804
2929560191	4753938195
2929560191	633905478
2929560191	284176495
2929560191	626820895
2929560191	3431245516
2929560191	44593098
2929560191	413872278
2929560191	600754466
2929560191	7128982
2929560191	3163469968
2929560191	266141237
2929560191	1362234558
2929560191	52151517
2929560191	1480366356
2929560191	3622726756
2929560191	1277311622
2929560191	349145104
2929560191	145723730
2929560191	4889494216
2929560191	4914079821
2929560191	104027300
2929560191	2496234372
2929560191	19225946
2929560191	86966432
2929560191	904480562
2929560191	706880990531211264
2929560191	2187312519
2929560191	2887058487
2929560191	710557074250473472
2929560191	24576546
2929560191	2491290469
2929560191	721390246756282371
2929560191	351460942
2929560191	706518727345487872
2929560191	19770476
2929560191	420982325
2929560191	26154150
2929560191	19805321
2929560191	229255197
2929560191	730013923395682304
2929560191	79688591
2929560191	1284321786
2929560191	488269261
2929560191	565239691
2929560191	4744828769
2929560191	2177062559
2929560191	221104855
2929560191	1707353858
2929560191	2563360044
2929560191	3317828499
2929560191	14701453
2929560191	37183317
2929560191	829115058
2929560191	1159888794
2929560191	88895697
2929560191	1454140621
2929560191	3362445790
2929560191	16418705
2929560191	703232082726752257
2929560191	712226779713376257
2929560191	141333525
2929560191	2438173117
2929560191	2556454496
2929560191	4349486723
2929560191	537162507
2929560191	1617603914
2929560191	89816760
2929560191	816653
2929560191	31113188
2929560191	1897448287
2929560191	2384071
2929560191	599339931
2929560191	436518985
2929560191	37391924
2929560191	633
2929560191	19968025
2929560191	3017318200
2929560191	2916305152
2929560191	1308001550
2929560191	3370410904
2929560191	3224616765
2929560191	3833943165
2929560191	919889023
2929560191	74848478
2929560191	1200059390
2929560191	3305953108
2929560191	564741817
2929560191	3412325675
2929560191	4238243056
2929560191	3068537205
2929560191	3751133975
2929560191	2173926636
2929560191	59285586
2929560191	4243688073
2929560191	826151010
2929560191	9524692
2929560191	23751864
2929560191	588271226
2929560191	2461391802
2929560191	451448044
2929560191	485661489
2929560191	3211914659
2929560191	30331417
2929560191	1076691588
2929560191	14174897
2929560191	2187737401
2929560191	2972047805
2929560191	4025092823
2929560191	308345846
2929560191	532604793
2929560191	318452880
2929560191	3421790302
2929560191	21864461
2929560191	6600
2929560191	23424617
2929560191	6900852
2929560191	76894627
2929560191	63287482
2929560191	1469682601
2929560191	1561171884
2929560191	3070025839
2929560191	2919520451
2929560191	2668855392
2929560191	1690945585
2929560191	1655469146
2929560191	1490254075
2929560191	23803754
2929560191	435493584
2929560191	27150431
2929560191	1916326602
2929560191	2558764628
2929560191	1280085823
2929560191	2311542429
2929560191	3306481611
2929560191	262776124
2929560191	2926818472
2929560191	50090323
2929560191	84944278
2929560191	458798565
2929560191	26203847
2929560191	263884264
2929560191	2748243719
2929560191	2797662385
2929560191	14332627
2929560191	1538873628
2929560191	174222122
2929560191	24048368
2929560191	44936962
2929560191	3066072989
2929560191	47892846
2929560191	1114566812
2929560191	235129566
2929560191	89650388
2929560191	18876109
2929560191	3065989114
2929560191	25804441
2929560191	44332706
2929560191	345011027
2929560191	85206479
2929560191	433196518
2929560191	120790320
2929560191	107016153
2929560191	912705781
2929560191	787300813
2929560191	1377530305
2929560191	465358817
2929560191	2383418676
2929560191	262125835
2929560191	2232099183
2929560191	943389062
2929560191	1415021222
2929560191	2993963889
2929560191	111258219
2929560191	3098786813
2929560191	34204253
2929560191	42609011
2929560191	2892216989
2929560191	564464649
2929560191	26333473
2929560191	284535935
2929560191	1358883631
2929560191	277490264
2929560191	2862475805
2929560191	403364044
2929560191	2974506717
2929560191	60684111
2929560191	849036230
2929560191	356227929
2929560191	14242695
2929560191	2805135194
2929560191	470317715
